Time Temp Unit Luminosity
1680 25 22 0.8982
1680 25 23 0.8782
1680 25 24 0.8613
1680 25 25 0.9885
2016 25 1 0.8753
2016 25 2 0.7983
2016 25 3 0.8888
2016 25 4 0.8706
2016 25 5 0.9248
2016 25 6 0.9269
2016 25 7 0.9572
2016 25 8 0.9144
2016 25 9 0.8309
2016 25 10 0.91
2016 25 11 0.9303
2016 25 12 0.9629
2016 25 13 0.9502
2016 25 14 0.8572
2016 25 15 0.8691
2016 25 16 0.8686
2016 25 17 0.8999
2016 25 18 0.8387
2016 25 19 0.8844
2016 25 20 0.9328
2016 25 21 0.883
2016 25 22 0.8892
2016 25 23 0.8369
2016 25 24 0.8632
2016 25 25 0.9259
2352 25 1 0.8793
2352 25 2 0.798
2352 25 3 0.8957
2352 25 4 0.812
2352 25 5 0.9276
2352 25 6 0.9147
2352 25 7 0.9457
2352 25 8 0.9181
2352 25 9 0.8339
2352 25 10 0.8961
2352 25 11 0.9472
2352 25 12 0.9511
2352 25 13 0.9273
2352 25 14 0.8778
2352 25 15 0.858
2352 25 16 0.8597
2352 25 17 0.8764
2352 25 18 0.8372
2352 25 19 0.8851
2352 25 20 0.9241
2352 25 21 0.8881
2352 25 22 0.8509
2352 25 23 0.8019
2352 25 24 0.8689
2352 25 25 0.9548
2688 25 1 0.9106
2688 25 2 0.7888
2688 25 3 0.8518
2688 25 4 0.8432
2688 25 5 0.9221
2688 25 6 0.9308
2688 25 7 0.9331
2688 25 8 0.9058
2688 25 9 0.8048
2688 25 10 0.8845
2688 25 11 0.9182
2688 25 12 0.9441
2688 25 13 0.9469
2688 25 14 0.8819
2688 25 15 0.8477
2688 25 16 0.823
2688 25 17 0.8811
2688 25 18 0.8339
2688 25 19 0.867
2688 25 20 0.9212
2688 25 21 0.8677
2688 25 22 0.8627
2688 25 23 0.8284
2688 25 24 0.818
2688 25 25 1.012
3024 25 1 0.8572
3024 25 2 0.7656
3024 25 3 0.8511
3024 25 4 0.817
3024 25 5 0.8826
3024 25 6 0.8963
3024 25 7 0.9425
3024 25 8 0.8976
3024 25 9 0.8265
3024 25 10 0.8623
3024 25 11 0.9169
3024 25 12 0.9591
3024 25 13 0.9442
3024 25 14 0.8798
3024 25 15 0.8265
3024 25 16 0.7958
3024 25 17 0.8534
3024 25 18 0.8409
3024 25 19 0.8568
3024 25 20 0.8968
3024 25 21 0.8423
3024 25 22 0.8387
3024 25 23 0.783
3024 25 24 0.8221
3024 25 25 0.9959
3360 25 1 0.8572
3360 25 2 0.7768
3360 25 3 0.8631
3360 25 4 0.775
3360 25 5 0.9039
3360 25 6 0.9205
3360 25 7 0.9464
3360 25 8 0.8881
3360 25 9 0.7952
3360 25 10 0.8457
3360 25 11 0.8807
3360 25 12 0.9844
3360 25 13 0.9038
3360 25 14 0.8555
3360 25 15 0.8172
3360 25 16 0.8114
3360 25 17 0.8604
3360 25 18 0.8021
3360 25 19 0.8416
3360 25 20 0.9257
3360 25 21 0.8279
3360 25 22 0.8366
3360 25 23 0.793
3360 25 24 0.8006
3360 25 25 0.9426
3696 25 1 0.8698
3696 25 2 0.7544
3696 25 3 0.8463
3696 25 4 0.8072
3696 25 5 0.8799
3696 25 6 0.9145
3696 25 7 0.9178
3696 25 8 0.8955
3696 25 9 0.8049
3696 25 10 0.8876
3696 25 11 0.9132
3696 25 12 0.9389
3696 25 13 0.9254
3696 25 14 0.8307
3696 25 15 0.8378
3696 25 16 0.8093
3696 25 17 0.8426
3696 25 18 0.7951
3696 25 19 0.8449
3696 25 20 0.9068
3696 25 21 0.8082
3696 25 22 0.7974
3696 25 23 0.8194
3696 25 24 0.8135
3696 25 25 0.9428
4032 25 1 0.8369
4032 25 2 0.737
4032 25 3 0.8594
4032 25 4 0.8003
4032 25 5 0.8552
4032 25 6 0.9076
4032 25 7 0.9152
4032 25 8 0.8568
4032 25 9 0.8164
4032 25 10 0.8537
4032 25 11 0.9089
4032 25 12 0.9131
4032 25 13 0.9236
4032 25 14 0.8201
4032 25 15 0.7898
4032 25 16 0.7928
4032 25 17 0.8693
4032 25 18 0.7557
4032 25 19 0.8295
4032 25 20 0.9085
4032 25 21 0.8001
4032 25 22 0.7907
4032 25 23 0.7791
4032 25 24 0.756
4032 25 25 0.9442
4368 25 1 0.839
4368 25 2 0.7056
4368 25 3 0.8282
4368 25 4 0.7571
4368 25 5 0.872
4368 25 6 0.8913
4368 25 7 0.891
4368 25 8 0.8756
4368 25 9 0.7855
4368 25 10 0.8735
4368 25 11 0.8994
4368 25 12 0.9459
4368 25 13 0.8951
4368 25 14 0.8008
4368 25 15 0.7646
4368 25 16 0.7926
4368 25 17 0.832
4368 25 18 0.7804
4368 25 19 0.8552
4368 25 20 0.9189
4368 25 21 0.7993
4368 25 22 0.7978
4368 25 23 0.769
4368 25 24 0.7617
4368 25 25 0.9278
4704 25 1 0.7949
4704 25 2 0.7628
4704 25 3 0.8518
4704 25 4 0.793
4704 25 5 0.8824
4704 25 6 0.9049
4704 25 7 0.8874
4704 25 8 0.8335
4704 25 9 0.7949
4704 25 10 0.8481
4704 25 11 0.9243
4704 25 12 0.912
4704 25 13 0.889
4704 25 14 0.7932
4704 25 15 0.7585
4704 25 16 0.7966
4704 25 17 0.8337
4704 25 18 0.8041
4704 25 19 0.8415
4704 25 20 0.9304
4704 25 21 0.796
4704 25 22 0.7795
4704 25 23 0.7887
4704 25 24 0.7449
4704 25 25 0.939
5040 25 1 0.8113
5040 25 2 0.7706
5040 25 3 0.8619
5040 25 4 0.7695
5040 25 5 0.8706
5040 25 6 0.9048
5040 25 7 0.9114
5040 25 8 0.8738
5040 25 9 0.7963
5040 25 10 0.8376
5040 25 11 0.9235
5040 25 12 0.9102
5040 25 13 0.9286
5040 25 14 0.8171
5040 25 15 0.7643
5040 25 16 0.7683
5040 25 17 0.8538
5040 25 18 0.7485
5040 25 19 0.8188
5040 25 20 0.8948
5040 25 21 0.7993
5040 25 22 0.7806
5040 25 23 0.7537
5040 25 24 0.7384
5040 25 25 0.9604
5376 25 1 0.7658
5376 25 2 0.73
5376 25 3 0.8385
5376 25 4 0.7768
5376 25 5 0.8732
5376 25 6 0.9052
5376 25 7 0.8974
5376 25 8 0.8392
5376 25 9 0.7711
5376 25 10 0.8466
5376 25 11 0.8629
5376 25 12 0.9349
5376 25 13 0.8948
5376 25 14 0.7942
5376 25 15 0.7495
5376 25 16 0.7573
5376 25 17 0.8229
5376 25 18 0.7813
5376 25 19 0.7959
5376 25 20 0.8694
5376 25 21 0.7653
5376 25 22 0.7971
5376 25 23 0.7616
5376 25 24 0.7381
5376 25 25 0.962
5712 25 1 0.8094
5712 25 2 0.7047
5712 25 3 0.8275
5712 25 4 0.7662
5712 25 5 0.8398
5712 25 6 0.8567
5712 25 7 0.886
5712 25 8 0.8488
5712 25 9 0.7762
5712 25 10 0.8462
5712 25 11 0.8932
5712 25 12 0.9001
5712 25 13 0.8967
5712 25 14 0.7911
5712 25 15 0.7784
5712 25 16 0.7617
5712 25 17 0.8292
5712 25 18 0.7625
5712 25 19 0.803
5712 25 20 0.8713
5712 25 21 0.7726
5712 25 22 0.771
5712 25 23 0.7365
5712 25 24 0.7324
5712 25 25 0.9385
6048 25 1 0.761
6048 25 2 0.7203
6048 25 3 0.8128
6048 25 4 0.758
6048 25 5 0.8042
6048 25 6 0.8589
6048 25 7 0.892
6048 25 8 0.8475
6048 25 9 0.7731
6048 25 10 0.8493
6048 25 11 0.87
6048 25 12 0.9202
6048 25 13 0.8967
6048 25 14 0.7989
6048 25 15 0.7421
6048 25 16 0.7527
6048 25 17 0.7972
6048 25 18 0.745
6048 25 19 0.7811
6048 25 20 0.8693
6048 25 21 0.7273
6048 25 22 0.786
6048 25 23 0.7435
6048 25 24 0.7098
6048 25 25 0.9662
6384 25 1 0.8047
6384 25 2 0.7087
6384 25 3 0.8097
6384 25 4 0.7673
6384 25 5 0.833
6384 25 6 0.8652
6384 25 7 0.8954
6384 25 8 0.8399
6384 25 9 0.7789
6384 25 10 0.8301
6384 25 11 0.8864
6384 25 12 0.9245
6384 25 13 0.8613
6384 25 14 0.7796
6384 25 15 0.7334
6384 25 16 0.7693
6384 25 17 0.7756
6384 25 18 0.7379
6384 25 19 0.8106
6384 25 20 0.8846
6384 25 21 0.7389
6384 25 22 0.7614
6384 25 23 0.7282
6384 25 24 0.6991
6384 25 25 0.9427
6720 25 1 0.7731
6720 25 2 0.7201
6720 25 3 0.7861
6720 25 4 0.7431
6720 25 5 0.841
6720 25 6 0.8227
6720 25 7 0.8627
6720 25 8 0.8245
6720 25 9 0.7492
6720 25 10 0.8117
6720 25 11 0.878
6720 25 12 0.8824
6720 25 13 0.9011
6720 25 14 0.7698
6720 25 15 0.7602
6720 25 16 0.7524
6720 25 17 0.8138
6720 25 18 0.7479
6720 25 19 0.8115
6720 25 20 0.8828
6720 25 21 0.7706
6720 25 22 0.7561
6720 25 23 0.7209
6720 25 24 0.6862
6720 25 25 0.9341
7056 25 1 0.7853
7056 25 2 0.6961
7056 25 3 0.7874
7056 25 4 0.7128
7056 25 5 0.8338
7056 25 6 0.8514
7056 25 7 0.881
7056 25 8 0.8277
7056 25 9 0.759
7056 25 10 0.8426
7056 25 11 0.8859
7056 25 12 0.9066
7056 25 13 0.9085
7056 25 14 0.7615
7056 25 15 0.6877
7056 25 16 0.7267
7056 25 17 0.7611
7056 25 18 0.7087
7056 25 19 0.7771
7056 25 20 0.8691
7056 25 21 0.7285
7056 25 22 0.7569
7056 25 23 0.732
7056 25 24 0.6832
7056 25 25 0.9641
7392 25 1 0.7681
7392 25 2 0.7152
7392 25 3 0.7777
7392 25 4 0.7206
7392 25 5 0.7922
7392 25 6 0.8747
7392 25 7 0.8649
7392 25 8 0.8252
7392 25 9 0.765
7392 25 10 0.8161
7392 25 11 0.8951
7392 25 12 0.8965
7392 25 13 0.8714
7392 25 14 0.7541
7392 25 15 0.6894
7392 25 16 0.7321
7392 25 17 0.8023
7392 25 18 0.7304
7392 25 19 0.7619
7392 25 20 0.8595
7392 25 21 0.7383
7392 25 22 0.7193
7392 25 23 0.7161
7392 25 24 0.6799
7392 25 25 0.942
7728 25 1 0.7555
7728 25 2 0.718
7728 25 3 0.7682
7728 25 4 0.7443
7728 25 5 0.8285
7728 25 6 0.8787
7728 25 7 0.8713
7728 25 8 0.7972
7728 25 9 0.7312
7728 25 10 0.8507
7728 25 11 0.8551
7728 25 12 0.8741
7728 25 13 0.8764
7728 25 14 0.7751
7728 25 15 0.6884
7728 25 16 0.7517
7728 25 17 0.7675
7728 25 18 0.7106
7728 25 19 0.7772
7728 25 20 0.8774
7728 25 21 0.7619
7728 25 22 0.7152
7728 25 23 0.6967
7728 25 24 0.6793
7728 25 25 0.94
8064 25 1 0.7531
8064 25 2 0.6998
8064 25 3 0.7684
8064 25 4 0.7096
8064 25 5 0.8066
8064 25 6 0.8266
8064 25 7 0.8476
8064 25 8 0.8115
8064 25 9 0.7449
8064 25 10 0.7979
8064 25 11 0.812
8064 25 12 0.8891
8064 25 13 0.9154
8064 25 14 0.7297
8064 25 15 0.6928
8064 25 16 0.7239
8064 25 17 0.7496
8064 25 18 0.7047
8064 25 19 0.7634
8064 25 20 0.8671
8064 25 21 0.7257
8064 25 22 0.7585
8064 25 23 0.7161
8064 25 24 0.6618
8064 25 25 0.9577
8400 25 1 0.7574
8400 25 2 0.6744
8400 25 3 0.7575
8400 25 4 0.7015
8400 25 5 0.7927
8400 25 6 0.8423
8400 25 7 0.8712
8400 25 8 0.7999
8400 25 9 0.77
8400 25 10 0.797
8400 25 11 0.8884
8400 25 12 0.8854
8400 25 13 0.8654
8400 25 14 0.7696
8400 25 15 0.6598
8400 25 16 0.7361
8400 25 17 0.7691
8400 25 18 0.7451
8400 25 19 0.7625
8400 25 20 0.8706
8400 25 21 0.6993
8400 25 22 0.7222
8400 25 23 0.6929
8400 25 24 0.6677
8400 25 25 0.9106
8736 25 1 0.7496
8736 25 2 0.7155
8736 25 3 0.7683
8736 25 4 0.7304
8736 25 5 0.7643
8736 25 6 0.8153
8736 25 7 0.8605
8736 25 8 0.806
8736 25 9 0.7379
8736 25 10 0.8015
8736 25 11 0.8781
8736 25 12 0.8846
8736 25 13 0.8893
8736 25 14 0.7431
8736 25 15 0.669
8736 25 16 0.7333
8736 25 17 0.7479
8736 25 18 0.6951
8736 25 19 0.7516
8736 25 20 0.8574
8736 25 21 0.6865
8736 25 22 0.7426
8736 25 23 0.6862
8736 25 24 0.6383
8736 25 25 0.932
9072 25 1 0.7396
9072 25 2 0.7133
9072 25 3 0.7549
9072 25 4 0.7528
9072 25 5 0.7922
9072 25 6 0.8144
9072 25 7 0.8333
9072 25 8 0.817
9072 25 9 0.7522
9072 25 10 0.8069
9072 25 11 0.8954
9072 25 12 0.8784
9072 25 13 0.8806
9072 25 14 0.75
9072 25 15 0.646
9072 25 16 0.7256
9072 25 17 0.7763
9072 25 18 0.6821
9072 25 19 0.7493
9072 25 20 0.8484
9072 25 21 0.695
9072 25 22 0.7312
9072 25 23 0.6807
9072 25 24 0.6322
9072 25 25 0.9289
9408 25 1 0.7212
9408 25 2 0.6708
9408 25 3 0.7572
9408 25 4 0.7133
9408 25 5 0.8036
9408 25 6 0.8105
9408 25 7 0.8306
9408 25 8 0.8162
9408 25 9 0.71
9408 25 10 0.8001
9408 25 11 0.8601
9408 25 12 0.8843
9408 25 13 0.8515
9408 25 14 0.7259
9408 25 15 0.641
9408 25 16 0.6974
9408 25 17 0.7688
9408 25 18 0.6842
9408 25 19 0.7535
9408 25 20 0.843
9408 25 21 0.688
9408 25 22 0.7244
9408 25 23 0.6835
9408 25 24 0.6252
9408 25 25 0.958
9744 25 1 0.7262
9744 25 2 0.6841
9744 25 3 0.7486
9744 25 4 0.7489
9744 25 5 0.7992
9744 25 6 0.8281
9744 25 7 0.8166
9744 25 8 0.7806
9744 25 9 0.7245
9744 25 10 0.7936
9744 25 11 0.907
9744 25 12 0.8922
9744 25 13 0.8648
9744 25 14 0.7333
9744 25 15 0.6292
9744 25 16 0.7448
9744 25 17 0.7128
9744 25 18 0.6654
9744 25 19 0.764
9744 25 20 0.8385
9744 25 21 0.6773
9744 25 22 0.7247
9744 25 23 0.6458
9744 25 24 0.6347
9744 25 25 0.9166
