A  B  C  D  E Inspection Volts
1 -1 -1  1  1        160   132
1 -1 -1  1  1        180   146
1 -1 -1  1  1          0    46
1 -1 -1  1  1         20    50
1 -1 -1  1  1         40    81
1 -1 -1  1  1         60    95
1 -1 -1  1  1         80   114
1 -1 -1  1  1        100   130
1 -1 -1  1  1        120   145
1 -1 -1  1  1        140   161
1 -1 -1  1  1        160   185
1 -1 -1  1  1        180   202
1 -1 -1  1  1          0    45
1 -1 -1  1  1         20    54
1 -1 -1  1  1         40    79
1 -1 -1  1  1         60    90
1 -1 -1  1  1         80   111
1 -1 -1  1  1        100   132
1 -1 -1  1  1        120   143
1 -1 -1  1  1        140   168
1 -1 -1  1  1        160   185
1 -1 -1  1  1        180   202
1 -1 -1  1  1          0    37
1 -1 -1  1  1         20    58
1 -1 -1  1  1         40    81
1 -1 -1  1  1         60    99
1 -1 -1  1  1         80   123
1 -1 -1  1  1        100   143
1 -1 -1  1  1        120   166
1 -1 -1  1  1        140   191
1 -1 -1  1  1        160   202
1 -1 -1  1  1        180   231
1  1  1 -1 -1          0    54
1  1  1 -1 -1         20    51
1  1  1 -1 -1         40    64
1  1  1 -1 -1         60    66
1  1  1 -1 -1         80    78
1  1  1 -1 -1        100    84
1  1  1 -1 -1        120    90
1  1  1 -1 -1        140    93
1  1  1 -1 -1        160   106
1  1  1 -1 -1        180   109
1  1  1 -1 -1          0    47
1  1  1 -1 -1         20    45
1  1  1 -1 -1         40    50
1  1  1 -1 -1         60    53
1  1  1 -1 -1         80    58
1  1  1 -1 -1        100    57
1  1  1 -1 -1        120    61
1  1  1 -1 -1        140    55
1  1  1 -1 -1        160    61
1  1  1 -1 -1        180    66
1  1  1 -1 -1          0    47
1  1  1 -1 -1         20    54
1  1  1 -1 -1         40    63
1  1  1 -1 -1         60    68
1  1  1 -1 -1         80    70
1  1  1 -1 -1        100    77
1  1  1 -1 -1        120    88
1  1  1 -1 -1        140    86
1  1  1 -1 -1        160    91
1  1  1 -1 -1        180   102
1  1  1 -1 -1          0    53
1  1  1 -1 -1         20    55
1  1  1 -1 -1         40    66
1  1  1 -1 -1         60    68
1  1  1 -1 -1         80    91
1  1  1 -1 -1        100    90
1  1  1 -1 -1        120    98
1  1  1 -1 -1        140   104
1  1  1 -1 -1        160   118
1  1  1 -1 -1        180   120
2 -1  1 -1  1          0    18
2 -1  1 -1  1         20    35
2 -1  1 -1  1         40    48
2 -1  1 -1  1         60    56
2 -1  1 -1  1         80    65
2 -1  1 -1  1        100    81
2 -1  1 -1  1        120    89
2 -1  1 -1  1        140    98
2 -1  1 -1  1        160   117
2 -1  1 -1  1        180   124
2 -1  1 -1  1          0    20
2 -1  1 -1  1         20    37
2 -1  1 -1  1         40    52
2 -1  1 -1  1         60    53
2 -1  1 -1  1         80    67
2 -1  1 -1  1        100    75
2 -1  1 -1  1        120    85
2 -1  1 -1  1        140    95
2 -1  1 -1  1        160   112
2 -1  1 -1  1        180   122
2 -1  1 -1  1          0    32
2 -1  1 -1  1         20    54
2 -1  1 -1  1         40    76
2 -1  1 -1  1         60    98
2 -1  1 -1  1         80   119
2 -1  1 -1  1        100   143
2 -1  1 -1  1        120   158
2 -1  1 -1  1        140   181
2 -1  1 -1  1        160   205
2 -1  1 -1  1        180   231
2 -1  1 -1  1          0    28
2 -1  1 -1  1         20    39
2 -1  1 -1  1         40    54
2 -1  1 -1  1         60    73
2 -1  1 -1  1         80    89
2 -1  1 -1  1        100    98
2 -1  1 -1  1        120   117
2 -1  1 -1  1        140   127
2 -1  1 -1  1        160   138
2 -1  1 -1  1        180   157
2  1 -1  1 -1          0    44
2  1 -1  1 -1         20    50
2  1 -1  1 -1         40    48
2  1 -1  1 -1         60    46
2  1 -1  1 -1         80    55
2  1 -1  1 -1        100    63
2  1 -1  1 -1        120    65
2  1 -1  1 -1        140    71
2  1 -1  1 -1        160    68
2  1 -1  1 -1        180    76
2  1 -1  1 -1          0    43
2  1 -1  1 -1         20    44
2  1 -1  1 -1         40    55
2  1 -1  1 -1         60    56
2  1 -1  1 -1         80    58
2  1 -1  1 -1        100    62
2  1 -1  1 -1        120    66
2  1 -1  1 -1        140    66
2  1 -1  1 -1        160    72
2  1 -1  1 -1        180    72
2  1 -1  1 -1          0    40
2  1 -1  1 -1         20    46
2  1 -1  1 -1         40    45
2  1 -1  1 -1         60    49
2  1 -1  1 -1         80    55
2  1 -1  1 -1        100    62
2  1 -1  1 -1        120    61
2  1 -1  1 -1        140    61
2  1 -1  1 -1        160    64
2  1 -1  1 -1        180    66
2  1 -1  1 -1          0    55
2  1 -1  1 -1         20    67
2  1 -1  1 -1         40    73
2  1 -1  1 -1         60    75
2  1 -1  1 -1         80    91
2  1 -1  1 -1        100    88
2  1 -1  1 -1        120   102
2  1 -1  1 -1        140   111
2  1 -1  1 -1        160   115
2  1 -1  1 -1        180   119
3 -1  1  1 -1          0    39
3 -1  1  1 -1         20    47
3 -1  1  1 -1         40    58
3 -1  1  1 -1         60    72
3 -1  1  1 -1         80    84
3 -1  1  1 -1        100   104
3 -1  1  1 -1        120   109
3 -1  1  1 -1        140   129
3 -1  1  1 -1        160   143
3 -1  1  1 -1        180   154
3 -1  1  1 -1          0    29
3 -1  1  1 -1         20    42
3 -1  1  1 -1         40    55
3 -1  1  1 -1         60    67
3 -1  1  1 -1         80    82
3 -1  1  1 -1        100    91
3 -1  1  1 -1        120   104
3 -1  1  1 -1        140   117
3 -1  1  1 -1        160   130
3 -1  1  1 -1        180   136
3 -1  1  1 -1          0    36
3 -1  1  1 -1         20    45
3 -1  1  1 -1         40    56
3 -1  1  1 -1         60    80
3 -1  1  1 -1         80    93
3 -1  1  1 -1        100   101
3 -1  1  1 -1        120   121
3 -1  1  1 -1        140   138
3 -1  1  1 -1        160   154
3 -1  1  1 -1        180   170
3 -1  1  1 -1          0    31
3 -1  1  1 -1         20    40
3 -1  1  1 -1         40    60
3 -1  1  1 -1         60    72
3 -1  1  1 -1         80    82
3 -1  1  1 -1        100    98
3 -1  1  1 -1        120   103
3 -1  1  1 -1        140   117
3 -1  1  1 -1        160   130
3 -1  1  1 -1        180   146
3  1 -1 -1  1          0    61
3  1 -1 -1  1         20    67
3  1 -1 -1  1         40    69
3  1 -1 -1  1         60    86
3  1 -1 -1  1         80    86
3  1 -1 -1  1        100    88
3  1 -1 -1  1        120    95
3  1 -1 -1  1        140   103
3  1 -1 -1  1        160   107
3  1 -1 -1  1        180   118
3  1 -1 -1  1          0    68
3  1 -1 -1  1         20    75
3  1 -1 -1  1         40    82
3  1 -1 -1  1         60    90
3  1 -1 -1  1         80    95
3  1 -1 -1  1        100   109
3  1 -1 -1  1        120   107
3  1 -1 -1  1        140   118
3  1 -1 -1  1        160   120
3  1 -1 -1  1        180   133
3  1 -1 -1  1          0    60
3  1 -1 -1  1         20    72
3  1 -1 -1  1         40    85
3  1 -1 -1  1         60    84
3  1 -1 -1  1         80    87
3  1 -1 -1  1        100    98
3  1 -1 -1  1        120    99
3  1 -1 -1  1        140   111
3  1 -1 -1  1        160   113
3  1 -1 -1  1        180   125
3  1 -1 -1  1          0    65
3  1 -1 -1  1         20    68
3  1 -1 -1  1         40    69
3  1 -1 -1  1         60    75
3  1 -1 -1  1         80    79
3  1 -1 -1  1        100    84
3  1 -1 -1  1        120    95
3  1 -1 -1  1        140    96
3  1 -1 -1  1        160   101
3  1 -1 -1  1        180   100
